params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
3 2 4 1,0.6321109229898487,0.8713863709239816,0.6480952082055857,6040,0.6,0.5,,0.8
1 3 2 1,0.6320193641368457,0.8648639565595063,0.6541702181939404,6040,0.0,1.0,0.5,0.8
3 2 4 2,0.631793269826369,0.8707959334245194,0.6476148317206931,6040,0.6,0.5,,1.0
3 2 2 1,0.631634443244629,0.8732735188868107,0.6496937491637875,6040,0.6,0.5,0.5,0.8
1 3 4 1,0.6313952690980089,0.8624469739486271,0.6586075941984564,6040,0.0,1.0,,0.8
1 3 4 3,0.6309935312736079,0.8612839997443074,0.6605155301808263,6040,0.0,1.0,,1.2
1 3 4 2,0.6309655030533009,0.8618034115103378,0.6594190776390376,6040,0.0,1.0,,1.0
2 2 2 1,0.630866470008216,0.8724863458801926,0.6530373866179549,6040,0.3,0.5,0.5,0.8
1 3 3 1,0.630866470008216,0.8681679524152992,0.6533885886591999,6040,0.0,1.0,1.0,0.8
3 2 4 3,0.6307842538953153,0.8703722620373747,0.6469553318007559,6040,0.6,0.5,,1.2
5 2 1 1,0.6304516523476718,0.869697344336278,0.6471979741843978,6040,1.2,0.5,0.0,0.8
1 3 1 1,0.630376910426853,0.8596174646388568,0.6595032113736798,6040,0.0,1.0,0.0,0.8
2 2 4 1,0.630193792720847,0.8702615080888202,0.6561584767740367,6040,0.3,0.5,,0.8
4 2 3 1,0.630158290308458,0.8749144443070764,0.6475665573197591,6040,0.9,0.5,1.0,0.8
5 4 3 1,0.6299022992296537,0.8617124927970956,0.6423122698917816,6040,1.2,1.5,1.0,0.8
5 2 3 1,0.6297658952241594,0.8745712110066556,0.6468071594170277,6040,1.2,0.5,1.0,0.8
5 4 2 1,0.6294351622245363,0.8594351652563823,0.6403245310121739,6040,1.2,1.5,0.5,0.8
4 2 1 1,0.6293305235353901,0.8695508465430127,0.647157264312797,6040,0.9,0.5,0.0,0.8
2 2 4 2,0.6288988889426615,0.8695935774720692,0.656476013772525,6040,0.3,0.5,,1.0
3 2 3 1,0.6288876776545387,0.8752823922529517,0.6536616046491712,6040,0.6,0.5,1.0,0.8
2 2 4 3,0.6287120341406146,0.8690205210667231,0.6562317545429184,6040,0.3,0.5,,1.2
4 4 3 1,0.6284261462934828,0.8605701911233192,0.6407072038052237,6040,0.9,1.5,1.0,0.8
5 4 4 1,0.6282766624518452,0.8580184617246654,0.6412635720504385,6040,1.2,1.5,,0.8
5 4 4 2,0.6282019205310264,0.8577101638459729,0.6419990637306978,6040,1.2,1.5,,1.0
3 2 1 1,0.6281122302260439,0.869095704404063,0.646084140548493,6040,0.6,0.5,0.0,0.8
5 4 4 3,0.627921638327956,0.8574562612850792,0.6430683763580856,6040,1.2,1.5,,1.2
4 4 2 1,0.6277534690061137,0.8580275853554638,0.6431823639985685,6040,0.9,1.5,0.5,0.8
5 4 1 1,0.6273143602213034,0.8568305130246469,0.6434890450312967,6040,1.2,1.5,0.0,0.8
3 4 3 1,0.6269742844815779,0.8591567212835307,0.6402648232004924,6040,0.6,1.5,1.0,0.8
2 2 3 1,0.6267369788829783,0.8750529733595177,0.652386028672338,6040,0.3,0.5,1.0,0.8
4 4 4 1,0.6265202273126038,0.8564881747639562,0.6450685880494178,6040,0.9,1.5,,0.8
4 4 4 3,0.6263707434709662,0.8559367148011332,0.6446777732820479,6040,0.9,1.5,,1.2
2 2 1 1,0.6263389781546183,0.8674997619483039,0.6553551353077758,6040,0.3,0.5,0.0,0.8
4 4 4 2,0.6263333725105569,0.8561661336945674,0.6458339336355179,6040,0.9,1.5,,1.0
3 4 2 1,0.626015719347077,0.8564795130891474,0.6385023456104104,6040,0.6,1.5,0.5,0.8
4 4 1 1,0.6257391742400475,0.8552558205444184,0.6419149299960556,6040,0.9,1.5,0.0,0.8
3 4 4 1,0.6249506469754094,0.8549449530355329,0.6388687344548201,6040,0.6,1.5,,0.8
3 4 4 2,0.6247637921733624,0.8545382007865144,0.6389664381466627,6040,0.6,1.5,,1.0
3 4 4 3,0.6245021954504967,0.8542390265386208,0.6389392982322619,6040,0.6,1.5,,1.2
3 4 1 1,0.6238949173438441,0.8535288558210525,0.6388605924805,6040,0.6,1.5,0.0,0.8
2 4 3 1,0.6233194045535394,0.8571428818904994,0.6524131685867385,6040,0.3,1.5,1.0,0.8
1 4 2 1,0.6223926047353865,0.8473405799984489,0.6087597134186724,6040,0.0,1.5,0.5,0.8
2 4 2 1,0.6223365482947725,0.8540177496195069,0.6451369575359083,6040,0.3,1.5,0.5,0.8
1 4 3 1,0.6219497588545353,0.8506985958327988,0.6165005367062433,6040,0.0,1.5,1.0,0.8
2 4 4 1,0.621196734002286,0.8520492974024734,0.6431448878188961,6040,0.3,1.5,,0.8
1 4 4 1,0.6211593630418766,0.844882627665724,0.6062411293622865,6040,0.0,1.5,,0.8
2 4 4 2,0.6209164517992155,0.8516193318649675,0.6422899805152738,6040,0.3,1.5,,1.0
1 4 4 2,0.6208043389179874,0.8444626807987473,0.6052125266064996,6040,0.0,1.5,,1.0
2 4 4 3,0.620524056714917,0.8513266827454297,0.6413129435968483,6040,0.3,1.5,,1.2
1 4 4 3,0.6204306293138935,0.84401285115368,0.6052803763925014,6040,0.0,1.5,,1.2
2 4 1 1,0.620309173692563,0.8505749359887795,0.6389327731039058,6040,0.3,1.5,0.0,0.8
1 4 1 1,0.6197018955859104,0.8429660300085456,0.6026098088154717,6040,0.0,1.5,0.0,0.8
1 2 2 1,0.6182948789264968,0.8460475651830005,0.5874440246483548,6040,0.0,0.5,0.5,0.8
1 2 4 1,0.6181846345932891,0.8427375350270911,0.578410302034333,6040,0.0,0.5,,0.8
1 2 4 2,0.6171382477018261,0.841376988020384,0.576581071803725,6040,0.0,0.5,,1.0
1 2 3 1,0.6163833543015563,0.8508161058877042,0.6034158642731726,6040,0.0,0.5,1.0,0.8
1 2 4 3,0.6143914821117358,0.840208499216436,0.5746867057785554,6040,0.0,0.5,,1.2
1 2 1 1,0.6084420252145607,0.8368260285868759,0.5700539223903542,6040,0.0,0.5,0.0,0.8
2 1 3 1,0.6039930123778227,0.8601189756102826,0.6338603231024131,6040,0.3,0.0,1.0,0.8
5 1 3 1,0.6037444954911002,0.8675703257257457,0.6625716385469245,6040,1.2,0.0,1.0,0.8
4 1 3 1,0.6035763261692579,0.866633825445425,0.67310463932584,6040,0.9,0.0,1.0,0.8
3 1 3 1,0.6034698189320912,0.864730104811462,0.6671718540378446,6040,0.6,0.0,1.0,0.8
2 1 4 2,0.6023243989955434,0.854443124469364,0.6237588469624691,6040,0.3,0.0,,1.0
2 1 4 3,0.6023057135153387,0.8540198861659598,0.6231319149398127,6040,0.3,0.0,,1.2
2 1 2 1,0.6021057788771484,0.8566667784985122,0.6285571838285144,6040,0.3,0.0,0.5,0.8
2 1 4 1,0.602068407916739,0.8550001279040645,0.6249937130677012,6040,0.3,0.0,,0.8
5 1 2 1,0.6018385765102212,0.8657554738753204,0.6594722603223633,6040,1.2,0.0,0.5,0.8
3 1 2 1,0.601507843510598,0.8625640509197917,0.663472683705028,6040,0.6,0.0,0.5,0.8
2 1 1 1,0.6012873548441827,0.8528747261394966,0.6218210570742584,6040,0.3,0.0,0.0,0.8
5 1 4 1,0.6011658992228522,0.8645630788489002,0.6580962666622474,6040,1.2,0.0,,0.8
4 1 2 1,0.6011472137426475,0.8646882400498865,0.6727138245584698,6040,0.9,0.0,0.5,0.8
3 1 4 2,0.6009790444208053,0.8606679814319098,0.6592171451269966,6040,0.6,0.0,,1.0
5 1 4 2,0.600810875098963,0.8641937450350557,0.6577678736979986,6040,1.2,0.0,,1.0
3 1 4 1,0.6007604243024103,0.8611422369999376,0.6612092148440087,6040,0.6,0.0,,0.8
4 1 4 1,0.6006800767375301,0.8635363816615713,0.6710881436858673,6040,0.9,0.0,,0.8
3 1 4 3,0.6006613912573254,0.8603389821504246,0.6585359332755387,6040,0.6,0.0,,1.2
5 1 4 3,0.6005249872518311,0.8639699562302472,0.657583322280074,6040,1.2,0.0,,1.2
4 1 4 2,0.6004932219354832,0.8631041063441166,0.6706756169869763,6040,0.9,0.0,,1.0
4 1 4 3,0.6002633905289654,0.8628032863780092,0.6706891869441769,6040,0.9,0.0,,1.2
5 1 1 1,0.6001232494274302,0.8634486388957587,0.6572196474271044,6040,1.2,0.0,0.0,0.8
4 1 1 1,0.6000858784670208,0.8621233449055232,0.670005261101279,6040,0.9,0.0,0.0,0.8
3 1 1 1,0.5998112019080117,0.859365612007668,0.6562208985771583,6040,0.6,0.0,0.0,0.8
1 1 4 2,0.5845246105525502,0.7824240412984035,0.4856400114403401,6040,0.0,0.0,,1.0
1 1 4 3,0.5842069573890704,0.7817317136309411,0.494889294268102,6040,0.0,0.0,,1.2
1 1 4 1,0.5832913688590403,0.7837943471253951,0.4837700713381312,6040,0.0,0.0,,0.8
1 1 1 1,0.582665405272183,0.7786239335818155,0.4771826944125903,6040,0.0,0.0,0.0,0.8
1 1 2 1,0.582020756205121,0.7881121054008026,0.4871104751003701,6040,0.0,0.0,0.5,0.8
1 1 3 1,0.5801036259361192,0.7959532597549082,0.4978415972544108,6040,0.0,0.0,1.0,0.8
