especie,0,1,3,4,5,9,10,15,17,18,21,22,23,25,26,28
0,1.0,0.7867838044308633,0.4077088686714355,0.33155137778954374,0.6683265534396257,0.2920902355901263,-0.09189527050489617,0.23512437517289272,0.8852470401552341,0.6747065768456143,0.5973539829154803,0.7318797551254456,0.29061443609745186,0.8990200640543503,0.826909554327162,0.8170150704910063
1,0.7867838044308633,1.0,0.501208417251198,0.769540887460163,0.1667838658371486,0.7467267635381134,-0.4362316827557469,0.7079010832378946,0.7601061881152301,0.9264393360650045,0.8917424821168136,0.937853107350287,0.7350870461276552,0.8391265999688439,0.9253193369680884,0.9062921036183068
3,0.4077088686714355,0.501208417251198,1.0,0.458522221200464,-0.0019238014881380067,0.4269921990981488,-0.40699354121814013,0.30055611597398585,0.40038266612787987,0.5253281477880408,0.5090422946037919,0.4769896416086873,0.42229394800735226,0.24390752071927,0.3906632242925957,0.24203764150288215
4,0.33155137778954374,0.769540887460163,0.458522221200464,1.0,-0.2240225579134493,0.9870546116209863,-0.5905489800498172,0.9451279433569809,0.46686043079530104,0.8383478685127375,0.8987445286917649,0.812928742945577,0.954573076509051,0.4975492877115181,0.6769590838220843,0.6343993235639181
5,0.6683265534396257,0.1667838658371486,-0.0019238014881380067,-0.2240225579134493,1.0,-0.25310882008301544,0.3328002946185598,-0.2559493838908838,0.5724118055762828,0.11111168992049061,0.04205277260171708,0.13607296585341114,-0.22576926157525587,0.5703607501552796,0.33758434022006784,0.3780269924191183
9,0.2920902355901263,0.7467267635381134,0.4269921990981488,0.9870546116209863,-0.25310882008301544,1.0,-0.5929762361565923,0.9519235777608784,0.41605811534868864,0.8118668169100661,0.8673777126509925,0.7942572101748733,0.9554446678403634,0.4759087081520576,0.6433351042957993,0.6098316025976318
10,-0.09189527050489617,-0.4362316827557469,-0.40699354121814013,-0.5905489800498172,0.3328002946185598,-0.5929762361565923,1.0,-0.6532756671925729,0.08178707164932053,-0.47478297103965555,-0.5056740051392458,-0.40891523340490094,-0.7108804619783997,-0.11186965671258545,-0.16375818417655105,-0.19467324119730536
15,0.23512437517289272,0.7079010832378946,0.30055611597398585,0.9451279433569809,-0.2559493838908838,0.9519235777608784,-0.6532756671925729,1.0,0.3039735536271742,0.7963587685941036,0.8452823898936102,0.6962811459893784,0.9630216092145608,0.4405014280689319,0.5703575607943635,0.6021817525214863
17,0.8852470401552341,0.7601061881152301,0.40038266612787987,0.46686043079530104,0.5724118055762828,0.41605811534868864,0.08178707164932053,0.3039735536271742,1.0,0.7283469830328761,0.6899935585703132,0.7675573002857268,0.3366426024119814,0.8668593900682742,0.8990863917160626,0.8395319805762715
18,0.6747065768456143,0.9264393360650045,0.5253281477880408,0.8383478685127375,0.11111168992049061,0.8118668169100661,-0.47478297103965555,0.7963587685941036,0.7283469830328761,1.0,0.960747274116258,0.8778730393588566,0.8054635833465563,0.7412857926825945,0.8497479855349733,0.8681991804986458
21,0.5973539829154803,0.8917424821168136,0.5090422946037919,0.8987445286917649,0.04205277260171708,0.8673777126509925,-0.5056740051392458,0.8452823898936102,0.6899935585703132,0.960747274116258,1.0,0.8761784713521515,0.8451608534648016,0.6993346714153751,0.8242253354851917,0.8186124036391416
22,0.7318797551254456,0.937853107350287,0.4769896416086873,0.812928742945577,0.13607296585341114,0.7942572101748733,-0.40891523340490094,0.6962811459893784,0.7675573002857268,0.8778730393588566,0.8761784713521515,1.0,0.7586434403968675,0.7919382450729573,0.8839757134660529,0.8312099146168407
23,0.29061443609745186,0.7350870461276552,0.42229394800735226,0.954573076509051,-0.22576926157525587,0.9554446678403634,-0.7108804619783997,0.9630216092145608,0.3366426024119814,0.8054635833465563,0.8451608534648016,0.7586434403968675,1.0,0.45046574819824386,0.5758267095864629,0.5689328580688797
25,0.8990200640543503,0.8391265999688439,0.24390752071927,0.4975492877115181,0.5703607501552796,0.4759087081520576,-0.11186965671258545,0.4405014280689319,0.8668593900682742,0.7412857926825945,0.6993346714153751,0.7919382450729573,0.45046574819824386,1.0,0.9097446849269611,0.9180215155545759
26,0.826909554327162,0.9253193369680884,0.3906632242925957,0.6769590838220843,0.33758434022006784,0.6433351042957993,-0.16375818417655105,0.5703575607943635,0.8990863917160626,0.8497479855349733,0.8242253354851917,0.8839757134660529,0.5758267095864629,0.9097446849269611,1.0,0.9431886644723302
28,0.8170150704910063,0.9062921036183068,0.24203764150288215,0.6343993235639181,0.3780269924191183,0.6098316025976318,-0.19467324119730536,0.6021817525214863,0.8395319805762715,0.8681991804986458,0.8186124036391416,0.8312099146168407,0.5689328580688797,0.9180215155545759,0.9431886644723302,1.0
